,t,Sensor_1,Sensor_2,Sensor_3,Sensor_4
387,0.0001935,0,0.003679503,-2.57E-05,0.002632328
388,0.000194,0,0.004726813,0.007335877,-0.003439972
389,0.0001945,0,0.001715644,0.011532413,-0.005263535
390,0.000195,0,-0.00275092,0.009363028,-0.001030916
391,0.0001955,0,-0.004536528,0.001192779,0.00455147
392,0.000196,0,-0.00178966,-0.008563575,0.005498801
393,0.0001965,0,0.003070905,-0.01347352,0.000715791
394,0.000197,0,0.005339989,-0.009487276,-0.005183603
395,0.0001975,0,0.002435337,0.001216569,-0.006722302
396,0.000198,0,-0.003377576,0.011055315,-0.002742007
397,0.0001985,0,-0.006771851,0.013035665,0.003042845
398,0.000199,0,-0.0042547,0.006720142,0.005922453
399,0.0001995,0,0.002381875,-0.00186243,0.004258586
400,0.0002,0,0.007443267,-0.006273564,0.000214923
401,0.0002005,0,0.006401076,-0.005226722,-0.002718855
402,0.000201,0,-2.55E-05,-0.002170379,-0.002701526
403,0.0002015,0,-0.006519554,-0.000470453,-0.000604337
404,0.000202,0,-0.007846874,-0.000204699,0.001234752
405,0.0002025,0,-0.003245031,0.000512713,0.001189328
406,0.000203,0,0.003269237,0.002484271,-0.000374361
407,0.0002035,0,0.006583419,0.004519048,-0.00161591
408,0.000204,0,0.004667498,0.004858141,-0.000947673
409,0.0002045,0,-0.000242819,0.002621602,0.001494895
410,0.000205,0,-0.004005624,-0.001712885,0.003785757
411,0.0002055,0,-0.004070897,-0.006132657,0.003638148
412,0.000206,0,-0.001178529,-0.007480588,0.000381255
413,0.0002065,0,0.001793695,-0.00362174,-0.004039391
414,0.000207,0,0.002485188,0.003666656,-0.006183022
415,0.0002075,0,0.000889664,0.008860816,-0.003919039
416,0.000208,0,-0.000994543,0.007446586,0.00135298
417,0.0002085,0,-0.001177056,0.000827792,0.005436905
418,0.000209,0,0.000483086,-0.004675569,0.004909996
419,0.0002095,0,0.002203605,-0.00442121,0.000371305
420,0.00021,0,0.002006928,-0.000233752,-0.003998598
421,0.0002105,0,-0.000324569,0.002295014,-0.004428027
422,0.000211,0,-0.002895135,0.000634147,-0.001121264
423,0.0002115,0,-0.003356281,-0.002090846,0.002325063
424,0.000212,0,-0.00110448,-0.001576359,0.002916637
425,0.0002125,0,0.002056396,0.002132802,0.001153956
426,0.000213,0,0.00348604,0.004927731,-0.000285627
427,0.0002135,0,0.002079538,0.003809625,-0.000131686
428,0.000214,0,-0.000804814,0.000151667,0.000175113
429,0.0002145,0,-0.00271677,-0.002531684,-0.001047303
430,0.000215,0,-0.002382983,-0.002686097,-0.002859959
431,0.0002155,0,-0.000642805,-0.001518364,-0.002406442
432,0.000216,0,0.00072689,-0.000506163,0.001359416
433,0.0002165,0,0.000889398,0.000333246,0.005505227
434,0.000217,0,0.000522175,0.001471746,0.005596562
435,0.0002175,0,0.000651263,0.002423845,0.000480438
436,0.000218,0,0.001253963,0.002186584,-0.005904355
437,0.0002185,0,0.001290922,0.000661564,-0.007935508
438,0.000219,0,8.63E-05,-0.001159595,-0.003625601
439,0.0002195,0,-0.001622671,-0.002274447,0.003434252
440,0.00022,0,-0.002268373,-0.00224157,0.007333537
441,0.0002205,0,-0.001088364,-0.000807051,0.005089283
442,0.000221,0,0.000987261,0.001970683,-0.000966055
443,0.0002215,0,0.002188407,0.004699129,-0.005561694
444,0.000222,0,0.001607707,0.004732042,-0.005166626
445,0.0002225,0,-8.00E-06,0.000701068,-0.000708741
446,0.000223,0,-0.001124989,-0.004873144,0.00378784
447,0.0002235,0,-0.000969817,-0.006809764,0.004928133
448,0.000224,0,-0.000159755,-0.002353532,0.002470195
449,0.0002245,0,0.000134713,0.005125077,-0.001220443
450,0.000225,0,-0.000485841,0.008662745,-0.00355053
451,0.0002255,0,-0.00124876,0.004649285,-0.003437669
452,0.000226,0,-0.001099268,-0.003132276,-0.00134161
453,0.0002265,0,0.000112149,-0.007133631,0.001551894
454,0.000227,0,0.001409528,-0.003815908,0.003855407
455,0.0002275,0,0.001656918,0.002702075,0.004214179
456,0.000228,0,0.000690697,0.005167477,0.001915641
457,0.0002285,0,-0.000546055,0.001171152,-0.00221592
458,0.000229,0,-0.000966679,-0.004023251,-0.005730811
459,0.0002295,0,-0.000372657,-0.003172212,-0.005999441
460,0.00023,0,0.00048078,0.004433319,-0.002322724
461,0.0002305,0,0.000750979,0.010921512,0.003155823
462,0.000231,0,0.00032624,0.007466478,0.00672305
463,0.0002315,0,-0.000214987,-0.005510984,0.005686131
464,0.000232,0,-0.000319045,-0.016646177,0.000403008
465,0.0002325,0,7.22E-06,-0.013873276,-0.005663702
466,0.000233,0,0.000355723,0.002666585,-0.008056884
467,0.0002335,0,0.000445187,0.018820878,-0.004488961
468,0.000234,0,0.000346994,0.019322645,0.003021447
469,0.0002345,0,0.000210048,0.003287343,0.009023806
470,0.000235,0,-6.96E-05,-0.014078412,0.008597279
471,0.0002355,0,-0.000740765,-0.016470032,0.001606554
472,0.000236,0,-0.001718446,-0.003048521,-0.0066459
473,0.0002365,0,-0.002313307,0.011126529,-0.009608389
474,0.000237,0,-0.001631962,0.011471204,-0.005118974
475,0.0002375,0,0.000539736,-0.000737887,0.002782848
476,0.000238,0,0.003149231,-0.010728833,0.007697492
477,0.0002385,0,0.004310119,-0.007210006,0.006562244
478,0.000239,0,0.002695895,0.005399664,0.001661542
479,0.0002395,0,-0.001125276,0.012824592,-0.002496654
